County,Company Name,API Hole Number,Well Type,Production Field Name,Well Name,Town,Months in Production,Gas Produced MCF,Oil Produced bbl,Reporting Year
9,Great Lakes Energy Partners,17687,GW,Lakeshore,Waite. W 1,Randolph,12,2821,2570,1975
51,Orion Develop & Exploration. Inc.,19633,GD,Silver Lake,Degraff 2,Leicester,12,4385,6624,1976
13,L. W. Resources,15415,GD,Lakeshore,C Olson #1,Gerry,5,1471,2271,1971
11,Janusz. Joseph,4518,GD,West Auburn,Janusz 1 (795-1),Throop,12,151,16041,1975
13,Belden & Blake Corporation,17981,GD,Lakeshore,Lawson #2,Ellery,12,1701,1200,1979
37,United States Gypsum Co.,19517,GD,Indian Falls,McTarnaghan #1,Oakfield,9,459,1352,1972
13,Belden & Blake Corporation,10406,GD,Lakeshore,Picardini 39,Ripley,12,1769,19563,1974
51,Ardent Resources. Inc.,4391,GD,Leicester,Parnell N883,Leicester,0,4857,1000,1970
13,Stedman Energy. Inc.,16310,GD,Lakeshore,NYSRA #6-5,Stockton,12,1147,2923,1979
13,Belden & Blake Corporation,10564,GE,Lakeshore,Cimmasi (Cliffstar) 1143,Portland,5,981,1000,1973
13,L. W. Resources,13709,GD,Lakeshore,Chant #2,Sheridan,1,41,400,1974
13,Great Lakes Energy Partners,19357,GD,Lakeshore,Wilson. M #1,Poland,12,4427,694,1972
37,United States Gypsum Co.,20592,GD,Bethany,Steele & Neubarth #1 (6817),Bethany,12,3197,0,1975
13,Lenape Resources. Inc.,19123,GD,Lakeshore,Stetson #1 663,Ripley,12,1022,219,1974
37,United States Gypsum Co.,20600,GD,Indian Falls,Dickens #3,Oakfield,1,335,135,1972
13,Great Lakes Energy Partners,18424,GD,Lakeshore,Walker. D #1,Ellington,12,3884,2346,1976
13,Lenape Resources. Inc.,18352,GD,Lakeshore,Stetson 679,Ripley,8,522,18756,1970
13,Great Lakes Energy Partners,15334,GW,Lakeshore,Hewes.R 1,Chautauqua,12,3023,16555,1975
13,Universal Resources Holdings . Inc.,15414,GD,Lakeshore,Barmore. E #1,Gerry,0,3075,1684,1974
13,Belden & Blake Corporation,16479,GD,Lakeshore,Ossman Bros. #620,Westfield,11,8348,0,1971
13,Kastle Resources Enterprises. Inc.,19080,GD,Lakeshore,Auffinger 2,Ellington,0,9754,100,1976
13,Dannic Energy Corp.,18349,GD,Lakeshore,C Peterson Unit #2,Carroll,12,146,13672,1980
13,Great Lakes Energy Partners,16713,GD,Lakeshore,NYSRA #5-23,Chautauqua,12,868,100,1980
29,Iroquois Gas Corp.,3220,GD,Alden-Lancaster,Chaplin H 2,Lancaster,12,935,364,1970
13,Great Lakes Energy Partners,14618,GD,Lakeshore,Cornell.G 1,Chautauqua,12,1347,6332,1978
51,Lenape Resources. Inc.,20575,GD,Avon,Steele 4,Avon,12,5159,6910,1972
99,Columbia Natural Resources. Inc.,19579,GD,Fayette-Waterloo,Nielsen 2544,Fayette,0,675,384,1970
29,Schreiner Oil & Gas. Inc.,14456,GD,East Aurora,Bockman 1,Aurora,12,245,12577,1976
11,Large. William C. & Mary B.,21243,GD,West Auburn,Large Wm 988-1,Fleming,2,2259,2949,1972
13,Belden & Blake Corporation,14465,GD,Lakeshore,Westfield F&G 2,Westfield,12,1237,5102,1980
9,Belden & Blake Corporation,10577,GE,Lakeshore,Marek. L&V #1,Otto,12,2121,228,1980
13,McCray. Gordon,17143,GD,Lakeshore,Harvey.P 1,French Creek,0,0,16731,1972
13,Great Lakes Energy Partners,12337,GD,Lakeshore,Nobbs 1,Portland,11,6367,5,1972
51,Lenape Resources. Inc.,17432,GD,Avon,Moran 1,Avon,12,111,3867,1978
13,Lenape Resources. Inc.,11604,GD,Lakeshore,Vandette 305,Stockton,9,75,4814,1972
121,United States Gypsum Co.,18059,GD,Sheldon,Boxler #1,Sheldon,12,796,2821,1971
13,Nornew. Inc.,16857,GD,Lakeshore,Bulkin Unit #1,Busti,12,4114,4385,1971
13,Loomis. Harry J.,17743,GD,Lakeshore,Hill 3,Cherry Creek,12,143,1769,1975
13,Great Lakes Energy Partners,17123,GD,Lakeshore,Bliss.A 1,French Creek,12,829,4427,1979
13,REI-NY. Inc.,22564,GD,Lakeshore,Boys Club #2,Gerry,12,3852,3197,1980
13,Densmore. Winfield F. & Debra,14430,GD,Lakeshore,Doud #1,Busti,12,200,1022,1971
13,Seneca Resources Corp.,22337,GD,Lakeshore,Edwards. A #7356,Westfield,10,9335,3884,1980
13,REI-NY. Inc.,16279,GD,Lakeshore,Risley 1,Gerry,12,8960,922,1979
13,Belden & Blake Corporation,10174,GD,Lakeshore,Best Frank 1,Portland,12,3050,8348,1975
13,Belden & Blake Corporation,12131,GD,Lakeshore,Farver 1248 #1,Portland,6,1037,1146,1978
13,Kastle Resources Enterprises. Inc.,15522,GW,Lakeshore,Cowen #1,Ellington,12,3406,868,1979
13,Kastle Resources Enterprises. Inc.,16092,GD,Lakeshore,Baschman #1,Ellington,12,1483,796,1975
13,Price. Murry,17883,GD,Lakeshore,Groff #1,Chautauqua,12,3105,4114,1975
13,Great Lakes Energy Partners,20925,GD,Lakeshore,Claypoole 1,Clymer,12,2531,3852,1976
13,Belden & Blake Corporation,12267,GD,Lakeshore,Hayes 1366 #1,Hanover,12,418,8960,1970
13,Kettlebrook Energy. Inc.,14607,GD,Lakeshore,3153 Brown,Chautauqua,12,1100,1037,1980
13,Great Lakes Energy Partners,16796,GD,Lakeshore,Damcott.C 3,Clymer,12,114,2531,1980
37,Clover Oil & Gas Co.,11777,GD,Alden-Lancaster,Wozniak 1,Darien,12,1134,1100,1976
13,Belden & Blake Corporation,11041,GD,Lakeshore,Meeder 188,Ripley,12,3855,3855,1979
29,Stedman Energy. Inc.,16449,GD,Brant-Eden,Turnbull Unit #1,Brant,0,586,6863,1978
13,Belden & Blake Corporation,13778,GD,Lakeshore,Schwartz 576,Chautauqua,12,6863,2487,1977
13,Great Lakes Energy Partners,19746,GD,Lakeshore,Stewart. R 4,Hanover,10,2487,2817,1976
13,Pan Energy Company. Inc.,18081,GD,Lakeshore,Van Ord #2,Harmony,12,200,4889,1980
29,Strippit Inc.,13152,GD,Akron,Fee #1,Newstead,12,2338,1773,1971
13,Chautauqua Energy.  Inc.,20142,GD,Lakeshore,McGuinn 1,Westfield,12,2817,1618,1979
13,Belden & Blake Corporation,11118,GD,Lakeshore,Sheppard 142,Stockton,11,4889,816,1971
121,United States Gypsum Co.,18149,GD,Sheldon,Kirsch #1,Sheldon,12,721,2463,1972
37,Gleber. Lawrence C. & Dorothy,13988,GD,Uhley Corners-Caledonia,Gleber 37,Pavilion,12,914,8707,1970
37,United States Gypsum Co.,19696,GD,Indian Falls,Klotzbach-Hall #1a,Alabama,12,489,3744,1972
13,Demambro. Gene Brian,12644,GD,Lakeshore,Demambro 1,Portland,12,86,6344,1978
29,Seneca Resources Corp.,13467,GD,North Collins,Brooks(Machmer)#659-I,Collins,11,596,1760,1972
13,Belden & Blake Corporation,11897,GD,Lakeshore,Cornell 423,Stockton,12,1773,3486,1972
13,Belden & Blake Corporation,12300,GD,Lakeshore,Deering 464,Arkwright,12,1618,3252,1976
99,Equitable Resources Exploraration,17567,GD,Fayette-Waterloo,Macgill 1 (4047),Fayette,7,1821,6638,1970
13,Cotton Well Drilling Co.. Inc.,14347,GD,Lakeshore,Franks #3113,Westfield,12,616,3167,1980
13,Kastle Resources Enterprises. Inc.,15997,GW,Lakeshore,Horton NY #20,Ellington,8,1521,1003,1973
13,Belden & Blake Corporation,11869,GD,Lakeshore,Wilson 390,Chautauqua,12,5914,2297,1972
13,Fea Gas Co.,13810,GD,Lakeshore,Stebbins #1,Sheridan,12,2952,1944,1979
29,Ardent Resources. Inc.,11728,GD,Concord,Keen W. N1463,Concord,12,9944,4503,1970
69,Granby & Hemenway Gas Co.. Inc,2333,GW,Naples,Granby 1 (Monier Est 1),Naples,0,0,860,1975
13,Vineyard Oil & Gas Co.,19014,GW,Lakeshore,Bentley 1,Ripley,12,1358,10000,1977
29,Schreiner Oil & Gas. Inc.,15487,GD,Orchard Park-Hamburg,Yates 822,Orchard Park,12,845,14568,1972
101,Pennsylvania General Energy,21268,GE,Painted Post,Twist 1,Hornby,0,8755,968,1979
37,United States Gypsum Co.,20489,GD,Bethany,Lor-Rob Dairy #10 (6606),Bethany,12,465,6936,1979
13,Chautauqua Energy.  Inc.,19855,GD,Lakeshore,Zeitler 2,Sherman,9,2463,1215,1973
29,Kelkenberg. Gordon L,18723,GD,Clarence,Kelkenberg #1,Newstead,0,0,2193,1975
3,unknown,60367,GE,Not Applicable,Voded Permit     ,Alma,12,190,5071,1976
13,Belden & Blake Corporation,14476,GD,Lakeshore,Ellis #1,Westfield,12,4878,2745,1980
13,Great Lakes Energy Partners,14775,GD,Lakeshore,Coleman.H 1,Chautauqua,12,31,1419,1980
121,Lenape Resources. Inc.,17080,GD,Leicester,Wolfgang. L #114,Perry,8,962,2587,1971
29,Dorothy C.Baker Revocable Trust,13813,GD,Buffalo Creek,Baker #2,Elma,0,98,3222,1973
121,Shearing. David H.,17612,GD,Leicester,D.H. Shearing No. 1 #134,Perry,12,713,2487,1977
13,REI-NY. Inc.,22503,GD,Lakeshore,Reed #8,Gerry,12,35,2748,1979
37,United States Gypsum Co.,19694,GD,Huron Creek,Bontrager. E. #1,Darien,12,8707,2523,1971
9,Great Lakes Energy Partners,16882,GD,Lakeshore,Beaver. D 1,Conewango,12,2885,4756,1976
9,Great Lakes Energy Partners,17289,GD,Lakeshore,Beaver.X 1,Randolph,12,2751,16538,1979
13,Belden & Blake Corporation,12233,GD,Lakeshore,Town 466,Arkwright,12,3744,7463,1980
13,Kastle Resources Enterprises. Inc.,17813,GD,Lakeshore,Cannon #9,Ellington,7,1395,19864,1972
13,Nornew. Inc.,16347,GD,Lakeshore,Lake Erie Beagle Club #2,Carroll,12,6344,3857,1971
51,Lenape Resources. Inc.,17359,GD,Uhley Corners-Caledonia,Keeney 1,York,12,1418,1938,1972
29,Open Flow Gas Supply Corp.,14541,GD,Lakeview,Taylor #1,Evans,12,1760,376,1978
13,Belden & Blake Corporation,16591,GD,Gerry-Charlotte,Lind 2,Charlotte,0,0,176,1974
9,Fault Line Oil Corp.,21769,GE,Ashford,Widrig #1,Ashford,10,2411,18764,1977
9,U S Energy Development Corp.,13724,GW,Lakeshore,Panigutti 1a,East Otto,12,867,3857,1975
13,Kastle Resources Enterprises. Inc.,17822,GD,Lakeshore,Nobles #2,Cherry Creek,7,2272,1215,1971
37,U S Energy Development Corp.,14421,GD,Akron,Bruning 1,Alabama,12,273,2193,1976
13,GFS Energy. Inc.,15681,GD,Lakeshore,Olsen O #2,Gerry,7,3486,5071,1971
29,Cotton Well Drilling Co.. Inc.,20103,GD,Brant-Eden,Boasberg 2,Eden,7,726,2745,1979
97,Columbia Natural Resources. Inc.,19692,GE,Unnamed,Perigo 21578 Tpi,Reading,1,38,1419,1973
13,Great Lakes Energy Partners,11725,GD,Lakeshore,Haywood 355 1,Portland,12,2043,2587,1976
29,Stedman Energy. Inc.,19332,GD,Brant-Eden,Janik #1,Brant,12,3252,3035,1974
13,Great Lakes Energy Partners,16795,GD,Lakeshore,Damcott.C 2,Clymer,12,6638,928,1976
13,Belden & Blake Corporation,12608,GD,Lakeshore,Panzica 513,Stockton,12,3167,7648,1971
13,Great Lakes Energy Partners,13893,GD,Lakeshore,Turney. M 1,Chautauqua,9,814,4616,1976
121,Ireland. Frank J. & Laura,14615,GD,Silver Lake,Ireland. F #1,Perry,0,9845,3086,1975
13,Kastle Resources Enterprises. Inc.,17878,GD,Lakeshore,Cowen #2,Ellington,10,926,2191,1972
13,Great Lakes Energy Partners,14316,GD,Lakeshore,Pennell. W 2,Ripley,12,441,3037,1979
121,United States Gypsum Co.,21779,GD,Danley Corners,Sczepanski. A & D 2,Bennington,12,1003,1021,1976
13,Belden & Blake Corporation,11167,GD,Lakeshore,Eimers 1,Westfield,12,2297,1848,1973
29,Seneca Resources Corp.,8195,GW,Orchard Park-Hamburg,Sowle 16-I,Hamburg,12,4521,0,1976
11,OI Auburn. Inc.,13606,GE,West Auburn,Delaney Tom & Mary T120-6,Throop,12,1737,12543,1971
13,Kastle Resources Enterprises. Inc.,12539,GD,Lakeshore,Maziar NY #22,Cherry Creek,12,8821,80,1974
9,Great Lakes Energy Partners,18429,GD,Lakeshore,Adams. K #1,Conewango,12,5145,227,1974
13,Nornew. Inc.,13751,GD,Lakeshore,Kidder. B Ae-72,Busti,0,3057,16695,1974
13,Texas Meridian Operating Co.,17758,GD,Lakeshore,Anderson.X 1,French Creek,0,258,12092,1972
13,Belden & Blake Corporation,11193,GD,Lakeshore,Bradley R. 1,Portland,0,9274,4010,1971
29,Cotton Well Drilling Co.. Inc.,18734,GD,Brant-Eden,Pasnik #1,Eden,0,1730,7620,1975
13,Belden & Blake Corporation,11657,GD,Lakeshore,Paddock 274,Chautauqua,12,9666,3777,1975
9,Texas Keystone. Inc.,16919,GD,Lakeshore,Bugenhagen #2,Persia,10,1608,3581,1972
29,GFS Energy. Inc.,15241,GD,Brant-Eden,Panek #1,Boston,11,755,15514,1977
13,Seneca Resources Corp.,21770,GD,Lakeshore,Singer-Setser #7334,Busti,12,1944,4228,1979
37,United States Gypsum Co.,19517,GD,Indian Falls,McTarnaghan #1,Oakfield,12,371,3703,1977
13,REI-NY. Inc.,16867,GE,Lakeshore,Josephson 1,Gerry,12,9444,4340,1970
13,Caflisch. James E.,19051,GD,Lakeshore,Caflisch. E #1-B,French Creek,12,491,1764,1977
